question_id,answer,percentage
30,"Monster",8
30,"Beast",5
30,"Trol",3
31,"…Mad Black Woman",29
31,"Diary Of Ann Frank",26
31,"Princess Diaries",19
31,"Bridgette Jones’",9
31,"Diary Of A Wimpy Kid",8
31,"Vampire Diaries",6
32,"3",23
32,"5",21
32,"1",18
32,"2",17
32,"10",14
32,"4",5
33,"Young People",34
33,"Medicine/Health",32
33,"Dentures",12
33,"Getting Old",12
33,"Fixed Income",7
33,"Aches and Pains",3
34,"construction",43
34,"Sports",31
34,"Teacher",8
34,"Police",6
34,"Stock Broker",5
34,"Auctioneer",4
35,"Football",36
35,"Hockey",18
35,"Baseball",18
35,"Swimming",10
35,"Wrestling",5
35,"Boxing",5
36,"touch The Art",33
36,"Run",15
36,"Steal",14
36,"Yell",12
36,"Bring Food In",10
36,"Break Something",5
37,"Wand",34
37,"Witch",24
37,"Fairy Godmother",18
37,"Wizard",12
37,"Fairy Dust",4
37,"Broom",4
38,"Brush Teeth",27
38,"Eat Vegetable",18
38,"School/Homework",17
38,"Bathe",11
38,"Go To Bed",10
38,"Clean",10
39,"Read",30
39,"Have A Conversation",27
39,"Watch TV",18
39,"Study",11
39,"Fall Asleep",7
39,"Concentrate",3
40,"Fullhouse",12
40,"Whitehouse",12
40,"Brickhouse",7
40,"Outhouse",6
40,"Open House",4
40,"Crack House",3
41,"bargains",38
41,"treasure",16
41,"Easter Eggs",14
41,"Lost Keys",11
41,"Job",8
41,"Dates",7
42,"Fall",43
42,"Forget Speech",22
42,"Loose Voice",11
42,"Faint",6
42,"Cry",4
42,"Drop Award",3
43,"Kiss",17
43,"Talk On Phone",16
43,"Have Picture Taken",15
43,"Vote",14
43,"Sell Tickets",12
43,"Eat",6
44,"Reading",48
44,"Driving",27
44,"Watching Tv",10
44,"Working",5
44,"Homework",4
44,"Eating",3
45,"Running water",18
45,"Cleaner",15
45,"Inside",12
45,"No Smell",9
45,"Heated",9
45,"Flush Toilet",6
46,"Construction",29
46,"Movers",24
46,"parcle Delivery",18
46,"Hair dresser",12
46,"Traffic Cop",5
46,"Food server",4
47,"Eggs",36
47,"butter",14
47,"Bacon",14
47,"Fired Chicken",12
47,"Pizza",11
47,"French Fries",10
48,"Strange Appearance",19
48,"Weird Eyes",18
48,"Large Ears",7
48,"Antennas",6
48,"Speech",6
48,"He can Fly",4
49,"Talk Loudly",80
49,"Use Phone",6
49,"Cough",3
49,"Laugh",3
49,"Snore",3
49,"Heckle",3
50,"Rabbit",43
50,"Assistant/Spectator",36
50,"Bird",7
50,"Money",4
50,"Flowers",3
50,"her/himself",3
51,"Bedroom",46
51,"bathroom",25
51,"kitchen",8
51,"Car",7
51,"Clothes",7
51,"Himself/Herself",6
52,"Do I know You",33
52,"Hey Baby",28
52,"What’s Your Sign",12
52,"Fall Form Heaven",9
52,"Come Here Often",6
52,"How You Doing",4
53,"Over Dinner",27
53,"With A Party",20
53,"In An Email",15
53,"Send Out Announcements",12
53,"By Phone",8
53,"In Person",6
54,"Shirt/Uniform",46
54,"Name Tag",26
54,"Jewlery",11
54,"Jersey",5
54,"Belt",4
54,"Jacket",4
55,"Corkscrew",22
55,"Screw Driver",14
55,"Scissors",13
55,"Can Opener",11
55,"Bottle Opener",7
55,"Nail File",5
56,"Expenses",41
56,"Being Alone",25
56,"Leaving Home",12
56,"Making New Friends",5
56,"Difficult Classes",4
56,"New Roommate",3
57,"Mall",31
57,"Zoo",22
57,"Bar/Club",14
57,"Disney World",13
57,"Beach",9
57,"Park",4
58,"Her Bedroom",38
58,"Take A Bath",30
58,"Spa",11
58,"Place Of worship",9
58,"Library",6
58,"Park",3
59,"Flashlight",42
59,"Remote Control",26
59,"Radio",11
59,"Toys",8
59,"Music Player",6
59,"Portable Videogame",5
60,"Buy A House",48
60,"Buy A Car",18
60,"Vacation",11
60,"Shopping Spree",8
60,"Pay Bills",7
60,"Quit Job",5
61,"Peeing",41
61,"Diving",21
61,"Street Clothes",12
61,"Nudity",9
61,"Eating",7
61,"Rafts",5
62,"Tour Bus",46
62,"Bicycle For 2",15
62,"Rental Cars",13
62,"Taxi",9
62,"Carriage",4
62,"Rickshaw",3
63,"Swimming Area",52
63,"Park",16
63,"Shopping District",15
63,"Bar",6
63,"Celebrity’s Home",5
63,"School",3
64,"Place Of Worship",54
64,"My House",27
64,"Hospital",6
64,"Dentist’s Office",3
64,"Library",3
64,"School",3
65,"Pizza",40
65,"Hot Dog",32
65,"Hamburger",11
65,"Spaghetti",6
65,"Meatloaf",5
65,"Sloppy Joe",4
66,"Tango",36
66,"salsa",24
66,"Waltz",14
66,"Tap",8
66,"Break Dancer",4
66,"swing Dance",3
67,"Autograph",52
67,"Albums",12
67,"Hair",8
67,"Posters",7
67,"Photos",7
67,"T Shirt",3
68,"Too Much Smoke",19
68,"Noise",18
68,"Bad Service",13
68,"Watery Drinks",6
68,"Expensive Drinks",5
68,"Too Rowdy",4
69,"Jacket",31
69,"Purse/Wallet",19
69,"Cell Phone",17
69,"Camera",14
69,"Umbrella",12
69,"Water Bottle",6
70,"Age",42
70,"Being Single",20
70,"Income",19
70,"Success With Women",6
70,"Job Title",5
70,"Weight",5
71,"Pictures",53
71,"Info. On Kids",12
71,"Age",10
71,"Real Name",10
71,"Relationship Status",5
71,"Who friends Are",3
72,"Past relationships",37
72,"Intimacy",23
72,"Him/Herself",14
72,"Monsy",9
72,"Family",4
72,"Work",4
73,"Practice Swing",26
73,"Wearing Golf Gloves",17
73,"Having A Caddy",14
73,"Using A Tee",13
73,"Driving Golf Cart",10
73,"Yelling Fore",8
74,"4",30
74,"5",22
74,"3",20
74,"2",18
74,"0",4
74,"1",4
75,"5",32
75,"3",26
75,"2",16
75,"1",8
75,"7",5
75,"10",4
76,"Shopping Center",36
76,"Restaurant",23
76,"Movie Theater",17
76,"Place Of Worship",8
76,"Hawii",5
76,"Ballet",3
77,"Sleep",32
77,"Unpack",21
77,"Eating Sweets",18
77,"Laundry",10
77,"Shower",6
77,"Check Mail",5
78,"Concierge",32
78,"Bellhop",22
78,"Valet",17
78,"Doorperson",12
78,"Room Service",8
78,"Chef",6
79,"Teacher",57
79,"Grandparent",12
79,"Police Officer",11
79,"Themselves",8
79,"Parent",6
79,"Clergy",5
80,"Pee On The Floor",24
80,"Pee On The Toilet",14
80,"Put Paper On Seat",12
80,"Write On Wall",11
80,"Leave It Messy",10
80,"Don’t flush Toilet",9
81,"Plastic Surgery",33
81,"Exercise",26
81,"Wear Makeup",14
81,"Diet",8
81,"Use Botox",6
81,"Dye Hair",4
82,"Intimacy",46
82,"Romantic Relationships",24
82,"Makeup",6
82,"Hair",5
82,"Keeping Fit",5
82,"Fashion",4
83,"FIREWORKS",41
83,"FLOATS",26
83,"CANDY",19
83,"MUSIC",7
83,"COSTUMES",3
83,"FIRE TRUCKS",3
84,"2",34
84,"3",23
84,"1",19
84,"4",7
84,"0",6
84,"5",3
85,"Affection",33
85,"Dating",18
85,"Romance",14
85,"Talking",12
85,"Fun",9
85,"Flirting",5
86,"MILK",27
86,"CIGARETTES",20
86,"MEAT",17
86,"ICE CREAM",16
86,"ALCOHOL",8
86,"FLOWERS",7
87,"GLEE CLUB",23
87,"CHESS CLUB",16
87,"DEBATE CLUB",14
87,"DRAMA",13
87,"ART",6
87,"FOREIGN LANGUAGE",5
88,"Hospital",30
88,"Restaurant",25
88,"Zoo",13
88,"Shopping Center",11
88,"Bar",8
88,"Gas station",4
89,"Sapronas",27
89,"Godfather",25
89,"Untouchables",13
89,"Public Enemy",9
89,"Scarface",8
89,"Goodfellows",7
90,"Red",49
90,"Black",28
90,"White",11
90,"Silver",6
90,"Blue",3
90,"Green",3
91,"Tape",38
91,"Tack",29
91,"Glue",12
91,"Gum",6
91,"String",3
91,"Hanger",3
92,"Swimming",39
92,"Gymnastics",21
92,"Basketball",15
92,"Hockey",9
92,"Track",8
92,"Ice Skating",5
93,"Chinese",54
93,"Jewish",26
93,"Islam",7
93,"Japan",5
93,"Buddhist",4
93,"India",3
94,"Travel",35
94,"Get Married",33
94,"Go Back To School",12
94,"Move Back Home",8
94,"Party",5
94,"Join The Military",3
95,"Finish School",38
95,"Fall In Love",26
95,"Get A Job",14
95,"Date Others",8
95,"Have Fun",5
95,"Live Together",3
96,"Las Vegas",41
96,"Cancun",26
96,"New Oleeans",14
96,"New York",8
96,"Amsterdam",4
96,"Los Angeles",3
97,"Milk",40
97,"Beer",18
97,"Soda",13
97,"Ice Cream",10
97,"Water",3
97,"Meat",3
98,"TV",37
98,"Video Games",20
98,"Toys",13
98,"Books",11
98,"Snacks",9
98,"Music",6
99,"Interupt",34
99,"Look Away",33
99,"Leave The Room",10
99,"Yawn",7
99,"Use Cell Phone",6
99,"Not Make Eye Contact",4
100,"Drew Barrymore",56
100,"Jodie Foster",14
100,"Raven Symone",9
100,"Ron Howard",8
100,"Laurence Fishburne",6
100,"Olsen Twins",4
101,"Bathing",29
101,"Playing",25
101,"Eating",14
101,"Smile/Laugh",13
101,"Sleeping",13
101,"Openig Presents",4
102,"PRESENTS",34
102,"WRAPPING PAPER",31
102,"FOOD",15
102,"PINE NEEDLES",6
102,"BOXES",5
102,"PEOPLE",4
103,"Helmet",51
103,"Knee Pads",18
103,"Gloves",12
103,"Horn",8
103,"Brakes",5
103,"reflective light/Tape",3
104,"Cake",46
104,"Chicken",15
104,"Bread",14
104,"Cookies",11
104,"Pie",8
104,"Roast",3
105,"Huggable",29
105,"Stuffed",19
105,"Smaller",16
105,"Softer",12
105,"No Teeth",10
105,"Safe",7
106,"TOILET PAPER",35
106,"BREAD",23
106,"PILLOW",17
106,"BLANKET",14
106,"TOWEL",4
106,"SHIRT",3
107,"Cold Drinks",26
107,"Eat Ice Cream",18
107,"Use A Fan",17
107,"Cold Shower",14
107,"Air COnditioning",14
107,"Sit In Shade",6
108,"Milkshake",33
108,"Coffee",28
108,"Tea",24
108,"Hot Chocolate",8
108,"Root Beer Float",3
108,"Slush/Smoothie",3
109,"Sit",34
109,"House Training",20
109,"Fetch",19
109,"Roll Over",16
109,"Don’t Bite/Chew",5
109,"Stay",5
110,"Sandals",35
110,"Bathing Suit",22
110,"Sun Dress",15
110,"Sun Hat",10
110,"Shorts",7
110,"Sunscreen",3
111,"Kiss",30
111,"Hold Hands",27
111,"Intimacy",22
111,"Dance",9
111,"Go On Dates",6
111,"Take Walks",4
112,"Wedding",27
112,"Dating",21
112,"Job Interview",16
112,"Doctor Appt",13
112,"Public Speaking",12
112,"Taking A Test",6
113,"WEDDING",27
113,"DATING",21
113,"JOB INTERVIEW",16
113,"DOCTOR’S APPT",13
113,"PUBLIC SPEAKING",12
113,"TAKING A TEST",6
114,"Blood",41
114,"Wrestling",34
114,"Bodies",10
114,"Names",7
114,"Injuries",3
114,"Tan",3
115,"French Fries",23
115,"Eggs",16
115,"Potato Chips",9
115,"Corn On The Cob",8
115,"Meat",8
115,"Tomatoes",7
116,"Sick",17
116,"Work",14
116,"Broke",12
116,"Far Away",4
116,"Car Problems",3
116,"Too Much Homework",2
117,"PILLOW",29
117,"CARDBOARD BOX",22
117,"BLANKET",21
117,"BEHIND",8
117,"MATTRESS",8
117,"TOWEL",8
118,"Clothes",30
118,"Car",22
118,"Gas",18
118,"Food",16
118,"Furniture",7
118,"TV",4
119,"Toast",39
119,"Marshmellow",18
119,"Popcorn",13
119,"Steak",11
119,"Bacon",10
119,"Hot Dogs",6
120,"Golf",47
120,"Gardening",17
120,"Traveling",16
120,"Fishing",10
120,"Playing An Instrument",3
120,"Knitting",3
121,"Drink",42
121,"Dance",22
121,"Eat",20
121,"WatchTV",7
121,"Introduce Yourself",3
121,"Listen To Music",3
122,"Chair",29
122,"Water",29
122,"Magazines",14
122,"Towels",9
122,"Waiting Room",9
122,"Music",8
123,"Super Bowl",51
123,"Rose Bowl",26
123,"Sugar Bowl",12
123,"Cotton Bowl",5
123,"Orange Bowl",4
123,"Peach Bowl",2
124,"Room Service",32
124,"Getting More Towels",26
124,"Wake Up Call",23
124,"Check Out Time",9
124,"Noise",4
124,"Phone Message",3
125,"Sea shells",18
125,"Seaweed",18
125,"Bottle",14
125,"Whale",12
125,"Garbage",8
125,"Shoes",4
126,"Texas",51
126,"Georgia",15
126,"Alabama",12
126,"Kentucky",9
126,"Tenessee",6
126,"South Carolina",6
127,"Candles",48
127,"Wrapping paper",26
127,"Paper Plates",9
127,"Plastic Cups",6
127,"Decorations",4
127,"Tablecloth/Napkins",3
128,"Eggs",35
128,"Coffee",30
128,"Pancakes",16
128,"Bacon",6
128,"Juice",4
128,"Toast",4
129,"Drum",30
129,"Candy",22
129,"Dog",16
129,"Horn",12
129,"Guitar",10
129,"Toy Gun",7
130,"Madd",16
130,"Sorority",16
130,"WNBA",14
130,"Now",13
130,"Girl Scouts",12
130,"Wic Program",4
131,"Singer",52
131,"Radio Host",15
131,"Teacher",10
131,"Receptionist",8
131,"Telemarketer",5
131,"Actor",3
132,"Baby",12
132,"Vegetables",11
132,"Eggs",8
132,"Balloon",7
132,"Charmin Tissue",6
132,"Bread",6
133,"Vows",36
133,"Kiss On Command",23
133,"Dance",17
133,"Cut The Cake",10
133,"Throw Bouqueu",6
133,"Bridal Song",5
134,"Song",61
134,"Voice",13
134,"Photo",9
134,"Movie",6
134,"Name",5
134,"Car",3
135,"Cookies",58
135,"Ginger Ale",12
135,"Pumpkin Pie",10
135,"Tea",7
135,"Ginger chicken",6
135,"Carrot Cake",2
136,"Sports",51
136,"Reaching",26
136,"Hugging",6
136,"Rock Climbing",6
136,"Paint Ceilings",5
136,"Change Lightbulbs",3
137,"Mow Lawns",49
137,"Babysit",17
137,"Paper Route",10
137,"Sell Lemonade",8
137,"Wash Cars",8
137,"Chores",5
138,"Soup",48
138,"Meat",22
138,"Bread",9
138,"Pizza",8
138,"Pasta",5
138,"Coffee/Tea",4
139,"Breath",42
139,"Hair",27
139,"manners",12
139,"Attitude",8
139,"Hygiene",5
139,"Credit",4
140,"Bride",35
140,"Ex",20
140,"Dancer",16
140,"Mom",13
140,"Dad",7
140,"Father N Law",6
141,"Pool",61
141,"Garden",12
141,"Swingset",9
141,"Grill",6
141,"Fence",4
141,"Fountain",3
142,"Nap",37
142,"Vomit",34
142,"Take Medicine",14
142,"Eat Soup",8
142,"Home From Work",3
142,"Go To Doctor",3
143,"Computer",33
143,"Cell Phone",27
143,"TV",17
143,"Microwave",9
143,"Car",7
143,"GPS",4
144,"Swimsuit",35
144,"Summer Clothing",18
144,"Pool Equipment",16
144,"Lawn Care",13
144,"Ice Cream",6
144,"Air Conditioner",5
145,"People Hanging Up",51
145,"Rude People",22
145,"Getting Rejected",12
145,"Making Phone Calls",4
145,"Asking Questions",2
145,"Boring",2
146,"Suitcase",43
146,"Wife",19
146,"Extra Clothes",18
146,"Baby Bag",5
146,"Flowers",4
146,"Car Seat",4
147,"Barber",41
147,"Butcher",26
147,"Gardener",13
147,"Tailor",9
147,"Lumberjack",5
147,"Carpenter",3
148,"Head",40
148,"Neck",23
148,"Back",18
148,"Shoulders",10
148,"Feet",2
148,"Chest",2
149,"Santa Claus",37
149,"Moses",22
149,"Uncle Sam",20
149,"Kenny Rogers",7
149,"Merlin/Wizard",7
149,"Colonel Sanders",4
150,"Walk",58
150,"Talk",20
150,"Read",6
150,"Eat On Their Own",5
150,"Hold A Bottle",4
150,"Crawl",3
151,"Cute",34
151,"Drooling",17
151,"Need Attention",13
151,"Playful",9
151,"Sleep Alot",8
151,"Cry",8
152,"Birds",37
152,"Wolves",19
152,"Fish",17
152,"Lions",12
152,"Elephant",9
152,"Deer",4
153,"Speed",40
153,"Not Clean It",15
153,"Travel Far",13
153,"Smoke In It",9
153,"Crash It",7
153,"Drive Recklessly",7
154,"Janitor",55
154,"Clown",13
154,"Lion Tamer",12
154,"Human Cannon Ball",6
154,"Tight Rope Walker",4
154,"Elephant Trainer",3
155,"Childhood",29
155,"Daughter’s Skirt",28
155,"Summer/School Calendar",17
155,"Money",11
155,"Life",10
155,"Fuse/Temper",5
156,"Head",33
156,"Eyes",27
156,"Tail/Fin",19
156,"Bones",14
156,"Scales",3
156,"Giills",3
157,"Collie",34
157,"Rescues People",21
157,"Smart",16
157,"Always Comes Home",9
157,"Owned By Timmy",8
157,"Girl Dog",6
158,"Candy Cane",69
158,"Fudge",8
158,"Mints",8
158,"Peppermints",4
158,"Chocolate Santa",4
158,"Hard Candy",4
159,"Smiling",62
159,"Waving",11
159,"Posing",10
159,"Crying",5
159,"Clapping",3
159,"Kissing Date",3
160,"Break Up",38
160,"Bad Weather",33
160,"Don’t Get Along",7
160,"Miss Flight",6
160,"Get Sick",6
160,"Lose Luggage",5
161,"Cold",39
161,"Too Hot",20
161,"Too Weak",15
161,"Too Strong",12
161,"No Sugar",7
161,"No Cream",6
162,"Weapon",47
162,"Teddy Bear",23
162,"Bat",8
162,"Dog",8
162,"Night Light",6
162,"Partner",3
163,"Typing",63
163,"Excel",11
163,"Word Processor",8
163,"Surfing The Net",6
163,"Programming",4
163,"Power Point",3
164,"Judges",44
164,"Prize",20
164,"Audience",19
164,"Competition",8
164,"Timer",3
164,"Scores",3
165,"Mom",39
165,"Dad",31
165,"Boss",12
165,"Grandma",9
165,"Kids",5
165,"Sibling",3
166,"Walking",37
166,"Smiling",20
166,"Eating",18
166,"Taking A Bath",10
166,"Crawling",8
166,"Sleeping",4
167,"Skiing",29
167,"Ice Skating/Hockey",16
167,"Snowboarding",15
167,"Shoveling",14
167,"Sledding",14
167,"Snowball Fight",8
168,"Shake It",45
168,"Walk",25
168,"Hit It",12
168,"Rub It",8
168,"Jump",5
168,"Stomp It",4
169,"Family",44
169,"Relationships",21
169,"Sports",14
169,"Weather",6
169,"TV",5
169,"Weekend",4
170,"3",34
170,"5",22
170,"4",17
170,"2",11
170,"6",11
170,"1",4
171,"Stocks",39
171,"Savings Account",27
171,"CD",10
171,"Bonds",9
171,"IRA",9
171,"401K",4
172,"Peas",35
172,"Spinach",22
172,"Carrots",17
172,"Corn",11
172,"Green Beans",7
172,"Asparagus",6
173,"Cold Cereal",33
173,"Cookies",16
173,"POatmeal",14
173,"Salad",13
173,"Bread",11
173,"Bagels",7
174,"Macy’s",39
174,"Saks Fifth Avenue",22
174,"Bloomingdale’s",12
174,"Tiffany’s",10
174,"FAO Schwartz",8
174,"Barney’s",6
175,"Food Server",35
175,"Surgeon",28
175,"Construction Worker",10
175,"Dancer",6
175,"Acrobat",5
175,"Bartender",5
176,"Bathroom",51
176,"Kitchen",15
176,"Roof",10
176,"Garage",9
176,"Doors",5
176,"Basement",4
177,"Fight Scenes",43
177,"Asian Actors",20
177,"Weapons",14
177,"Subtitles/Dubbing",9
177,"Ninjas",7
177,"Blood",5
178,"Sick",25
178,"Snoring",20
178,"Bad Breath",22
178,"Gas",13
178,"Cold Feet",12
178,"Body Odor",8
179,"Brave",70
179,"Strength",7
179,"Fortitude",6
179,"Heroic",4
179,"Heart",4
179,"Bold",3
180,"No Kids",39
180,"Job’s Not Suitable",18
180,"No Job",18
180,"Naughty Kid",11
180,"Too Busy At Work",7
180,"Boring Job",5
181,"Puzzle",57
181,"Earring",15
181,"Car",10
181,"Board Game",6
181,"Pie",5
181,"Cake",4
182,"CD/Record",44
182,"Furniture",16
182,"Glasses/Eyeglasses",11
182,"Car",11
182,"Mirror",6
182,"Camera Lense",5
183,"Clothes/Shoes",54
183,"Money",21
183,"Music/CDS",7
183,"Car",6
183,"Deoderant",4
183,"Comb/Brush",2
184,"Conference Table",29
184,"Executives",26
184,"Office Chairs",17
184,"Charts/Presentation",12
184,"Coffee/Donuts",9
184,"Computers/Phones",4
185,"Convict",24
185,"Con Artist/Con Man",22
185,"Contest",16
185,"Contract",13
185,"Construction",7
185,"Connect",5
186,"Poodle",31
186,"Pit Bull",21
186,"German Shepherd",15
186,"Labrador",12
186,"Collie",10
186,"Dalmation",8
187,"Money",49
187,"Lack Of Intimacy",20
187,"Dinner",8
187,"Snoring",8
187,"Work",7
187,"Doing Housework",6
188,"Sneezing",52
188,"Getting Hiccups",11
188,"Breathing",11
188,"Blinking",7
188,"Laughing",6
188,"Eating/Drinking",5
189,"Glue",38
189,"Yarn",22
189,"Construction Paper",13
189,"Paint",12
189,"Beads",8
189,"Fabric",3
190,"Place Of Worship",45
190,"Work",20
190,"Wedding",14
190,"Beach/Pool",7
190,"Funeral",4
190,"Fine Restaurant",3
191,"Walk",35
191,"Picnic",23
191,"Golf",16
191,"Baseball",14
191,"Drive",7
191,"Garden",3
192,"Drink/Smoke",28
192,"Bad Grades",20
192,"Put Off College",14
192,"Drop Out",14
192,"Date Too Soon",12
192,"Get A Tattoo",9
193,"Passing Gas",21
193,"Fight",19
193,"Bad Food",18
193,"Phone Call",16
193,"Kids",15
193,"Getting Sick",9
194,"Politics",24
194,"War",22
194,"World Peace",21
194,"Religion",11
194,"Hunger/Poverty",10
194,"Global Warming",9
195,"Danced",52
195,"Wore Poodle Skirts",16
195,"Hula Hoop",10
195,"Cruise In The Car",7
195,"Went To Drive In",6
195,"Grease Their Hair",2
196,"Purring",39
196,"Growing Whiskers",20
196,"Growing Tail",11
196,"Growing Claws",11
196,"Scratching",7
196,"Growing Fur",5
197,"Home",37
197,"Movie Theatre",28
197,"Mall",17
197,"Library",11
197,"Museum",3
197,"Gym",3
198,"Sing",27
198,"Fall Asleep",26
198,"Make A Pit Stop",22
198,"Get Food",14
198,"Fight",5
198,"Hear Are We There Yet",3
199,"Hold Head Back",51
199,"Pinch Nose",31
199,"With A Tissue",6
199,"Cotton In Nose",4
199,"Cold Towel",4
199,"Ice",2
200,"Sweets",45
200,"Valentines",18
200,"Notes",11
200,"Schoolwork",10
200,"Germs",5
200,"Invitations",4
201,"Tired",37
201,"Sick",27
201,"Bad Weather",17
201,"Going To Work/School",12
201,"Stayed Up Late",3
201,"It’s Monday",3
202,"George Clooney",21
202,"Will Smith",17
202,"Tom Hanks",16
202,"Robin Williams",14
202,"Jennifer anniston",13
202,"John Travolta",11
203,"Napkins",46
203,"Salt And Pepper",19
203,"Menu",11
203,"Glass",8
203,"Table Cloth",5
203,"Ketchup",4
204,"License Plate",32
204,"Bumper Stickers",31
204,"Bumper",17
204,"Dirt",5
204,"Tires",4
204,"Lights",3
205,"Holds Your Hand",28
205,"Kisses You",25
205,"Smiling",21
205,"Arm around You",12
205,"Move Closer",7
205,"Looking At You",5
206,"Jewelry Store",44
206,"Macys",27
206,"Neman Marcus",8
206,"Bloomingdales",8
206,"Department Store",3
206,"Lord & Taylor",3
207,"Talk To Someone Else",27
207,"Eat",21
207,"Interrupt",21
207,"Hang Up",11
207,"Put You On Hold",8
207,"make Noises",6
208,"Rodent",39
208,"Cricket",18
208,"Snake",15
208,"Monster",14
208,"Fly",4
208,"Mosquito",3
209,"Birthday",31
209,"Anniversary",20
209,"Wedding",19
209,"Christmas",17
209,"Valentines Day",5
209,"Mothers Day",3
210,"Mugs",45
210,"Reading Material",32
210,"Gift Cards",8
210,"T Shirt",3
210,"Coffee Maker",3
210,"Music",3
211,"Detention",51
211,"Stand In Corner",26
211,"Suspension",9
211,"Write Lines",6
211,"Principal’s Office",4
211,"No Recess",3
212,"Drive",35
212,"Move Out",22
212,"Have A Job",14
212,"No Rules",12
212,"Romance",7
212,"No School",3
213,"Raft",32
213,"Inner Tube",19
213,"Beach Ball",14
213,"Life Jacket",14
213,"Water Wings",12
213,"Noodle",7
214,"Leaves",49
214,"Nuts",25
214,"Flowers",10
214,"Acorn",8
214,"Money",4
214,"Pine Cones",3
215,"Seeds",35
215,"Soil",28
215,"Water Cooler",15
215,"Hoe",7
215,"Shovel",5
215,"Plot Of Land",3
216,"Pop",75
216,"Cucumbers",14
216,"Broccili",3
216,"Beans",2
216,"Beer",2
216,"Radishes",2
217,"Fish",56
217,"Drive",18
217,"Play Sports",9
217,"Ride A Bike",5
217,"Hunt",5
217,"Read",3
218,"TV",36
218,"Car/Vehicle",29
218,"House",21
218,"Oven",5
218,"Stereo/Speakers",4
218,"Refrigerator",3
