id,question
78,"Name An Employee You’d Find At A Fancy Hotel, But Not At A Budget Motel"
79,"Tell Someone Who Parents Tell Their Kids To Have respect For. (More specific Then “Elders”)"
80,"Name Something You Would Do In A Public Restroom That You Would Never Do In Your Own Bathroom"
81,"Name Something A Person Might Do In Order To Stay Attractive"
82,"Name Something Women’s Magazines Give Advice On"
83,"What Is The Best Part Of A 4th Of July Parade"
84,"What Is The Maximum Number Of Times It’s Okay For Your Partner To Call You At Work"
85,"Name Something That Usually Stops After A Couple Gets Married"
86,"Name Something Grocery Stores Keep In A Glass Case"
87,"Name A Club A High School Student Might Belong To"
88,"Name A Public Place You Immediately Want To Wash Your Hands Immediately After Leaving"
89,"Name A Movie Or TV Show about Gangsters"
90,"Which Color Of Car Do You Think Gets Pulled Over Most Often"
91,"Name Something A resourceful Person Might Use To Hang A Picture If They Didn’t Have A Nail"
92,"Which Olympic Sport Would Be Most Fun To watch Live"
93,"Name A Culture Or Religion That Celebrates A Different New Year Then The West"
94,"Instead Of Get A Job, Name Something A Person Might Do After College"
95,"We Asked 100 Parents: Name Something You’d Tell Your Children To Do First Before Getting Married"
96,"Name A Place That Single People Travel To For Its Party Atmosphere"
97,"Name A Food Or Beverage You Wouldn’t Consume After It’d Been Sitting Out In Hot Weather"
98,"Instead Of Magazines, Name Something You wish Your Dentist’s Waiting Room Had?"
99,"Name Something That Is Rude To Do When Someone Is Taking TO You"
100,"Name A Child Actor Who Is Still Acting Or Working In Hollywood As An Adult"
101,"Name Something Most Parents have Pictures Of Their Child Doing"
102,"Name Something Your House Is Full Of After Christmas"
103,"Name A Piece Of Equipment Many Bikers Don’t Use, But Ought To."
104,"Name A Food That’s Baked In The Oven, But Can’t Be Cooked In The Microwave"
105,"Name Something About A Teddy Bear That’s Different From A Real Bear"
106,"In The Store, Name A Product That You Might Choose Because It’s Soft"
107,"Besides Swimming, Name Something People Do To Stay Cool In The Summer"
108,"Name A Drink That Often Comes With A Spoon"
109,"If You Got A New Puppy, Name Something You’d Teach It"
110,"Name Something That You Would wear To A Wedding In The Dessert"
111,"Name Something Romantic You Hope To Still Do With Your Partner When You’re 80"
112,"Tell Me A Situation That Makes Just About Everyone Nervous"
113,"Tell Me A Situation That Makes Just About Everyone Nervous"
114,"Name Something That’s Fake On WWF Wrestling"
115,"Name Something That Tastes Better With Salt On It"
116,"Name A Reason You May Not Be Able To Get Home For The Holidays"
117,"Name Something A Kid Might Use To Slide Down The Stairs"
118,"Name Something Many people Buy With Credit Card Instead Of Cash"
119,"Name A Food That Some People Prefer To Eat Burnt"
120,"Name An Activity People Commonly Take Up After Retirement."
121,"At A party where You Don’t Know Anyone, How Might You Pass The Time?"
122,"Name Something That Both A Dental Office And A Spa Might Have"
123,"Name A Football Bowl Game"
124,"Name Something A Hotel Guest Calls The Front Desk To Ask About"
125,"Name Something That May Be Found Washed Up On The Beach"
126,"Name A U.S. State Whose Residents Say “Y’All"
127,"Name Something That A Very thrifty Person Would Re-Use after A Birthday Party"
128,"Name Something You’ll Find On The Breakfast Menu No Matter What Kind Of Restaurant You’re At"
129,"Name A Gift That’s great To Give To Children If You Don’t Live With Them."
130,"Name An Organization That’s Only For Females"
131,"name a Profession Where You Might Be Fired If You Lost Your Voice"
132,"Name Something You shouldn’t Squeeze too Tightly"
133,"Name The Part Of The Wedding That The Bride And Groom Might Do More Out Of Tradition Than Choice"
134,"Name Something You See Or Hear That Reminds You Of An Ex."
135,"Name Something Made with Ginger"
136,"Name Something A Person With Extra Long Arms Would Be Good At"
137,"Name Something A Kid Would Do After School To Make An Extra Buck"
138,"Name Something Warm Served At An All-You-Can Eat Buffet."
139,"Complete This Sentence. I’d Never Date Someone Who had bad ___________ ."
140,"Name Someone The Groom Might Not Want At His Bachelor Party"
141,"Name Something You’d Like to Have In Your Backyard"
142,"Tell Me Something You Only Do When You’re Sick."
143,"Name A Form Of Technology That Some People Refuse to Use"
144,"Name Something That Probably Drops In Sales In The Winter."
145,"Name Something A Telemarketer Probably Hates About Their Job."
146,"Name Something A Husband Might Forget To Take To The Hospital When His Wife Is Having A Baby."
147,"Name An Occupation In Which One Spends His Day Cutting."
148,"When You’re Stressed Out, Name The Part Of Your Body Where You Feel It Most."
149,"Name Someone, Real Or Fictional, Who Is Known For Having A White Beard."
150,"Name Something You’d Be Surprised To Hear A Six Month Old Baby Has Already Learned How To Do."
151,"Name Something Babies And Puppies Have In Common."
152,"Name An Animal That Travels In Groups."
153,"Name Something People Might Do With A Rental Car That They Wouldn’t Do With Their Own Car."
154,"Name The Job You Wouldn’t Want To Have If You Worked At The Circus"
155,"Name Something Parents Say Is Too Short."
156,"Name A Part of A Fish That Most People Don’t Eat."
157,"Name Something Everyone Knows About The Dog “Lassie.”"
158,"Name A Popular Christmas Candy."
159,"At An Awards Show, Name Something Celebs Might Be Doing When The Camera Pans On Them."
160,"Name Something That Might Happen If You Had Bad Luck On Your Honeymoon."
161,"Name A Reason A Person Might Complain About A Cup Of Coffee That’s Served To Them."
162,"To Feel Safer At Night, Name Something You Would Go To Sleep With."
163,"Name A Computer Program Or Skill That You Wish You Were Better At."
164,"What Do You See At The Olympics That You Might Also See At A Spelling Bee."
165,"Name Someone You Wouldn’t Want To See You Nude."
166,"Name Something Parents Photograph Their Baby Doing For The First Time."
167,"Name A Winter Activity That Makes You Sweat."
168,"Name Something You Do To Try And Wake Up Your Leg After It Has Fallen Asleep."
169,"Other Than Work, Name Something You Often Find Yourself Talking To Co-Workers About."
170,"How Many Credit Cards Does The Average Person Have? (Numeric Only)"
171,"What Might A Financial Expert Tell You To Put Your Money Into?"
172,"Name The Vegetable That Tastes The Worst When it Comes From A Can."
173,"Name A Food You Find Raisins In."
174,"Name A Famous Store In New York City."
175,"Name A Job That A Clumsy Person Would Be Fired From Immediately."
176,"While Looking For A New Home, What Would You Be Surprised To Find That A House Didn’t Have?"
177,"Name Something You Expect To See In A Martial Arts Movie."
178,"Name Something That Would Keep You From Snuggling Up To Your Spouse In Bed."
179,"Name Another Word For “Courage.”"
180,"Name A Reason Why You Might Not Participate In Take-Your-Child-To-Work Day."
181,"Tell Me Something You Hate To Discover That You’re Missing A Piece From."
182,"Name Something That Might Be Ruined If It Had A Scratch On It."
183,"Name Something Sister Borrow From Their Brothers."
184,"Name Something You’d Expect To See In A Boardroom Meeting."
185,"Name A Word That Begins With “Con.”"
186,"Name A Breed Of Dog That Everyone Has Heard Of."
187,"We Asked 100 Married People: Name The Thing That Your Spouse Most Often Complains About."
188,"Besides Coughing, What’s Something You Can’t Stop Yourself From Doing?"
189,"Name Something A Craft Lover Would Have A Lot Of."
190,"Name A Place Where It’s Usually Not OK To Wear Jeans."
191,"Name An Activity You Wouldn’t Want To Do In The Rain"
192,"Name Something Teenagers Do That They’ll Kick Themselves For Later In Life."
193,"Name Something That Could Ruin A Romantic Dinner."
194,"What Worldly Topic Would You Be Surprised To Learn That Britney Spears And Jessica Simpson Talk About When They’re Alone"
195,"Name Something Teenagers Did In The 50′s."
196,"Name A Sign That Your Girlfriend Might Be Turning Into A Cat."
197,"Name A Good Place To Spend The Day When It’s Raining Outside."
198,"Name Something You Do At Least Twice In The Course Of A Long Car Ride With Family."
199,"Name A Way People Try To Stop A Bloody Nose."
200,"Name Something A Kid Passes Out To All Of His Classmates."
201,"Name A Reason Why It’s Harder To Get Out Of Bed On Some Days Than On Others."
202,"Name A Television Star Who Has Successfully Transitioned Into Feature Films."
203,"Besides Utensils, Name Something That’s Already On The Restaurant Table When You Sit Down."
204,"Name Something You’d See On The Back Of A Car."
205,"When Sitting Close To A Date, What Clue Might They Give That They Like You?"
206,"Name A Store Or Type Of Store That Sells Expensive Merchandise."
207,"Name Something Rude People Do While You’re Trying To Talk To Them On The Phone."
208,"Tell Me A Creature That You’d Hate To Hear In Your Room At Night."
209,"For Which Occasion Would You Hate To Forget To Buy A Gift?"
210,"Name Something Besides Food And Drinks That You Can Buy At Starbucks."
211,"Name A Punishment That A Misbehaving Kid Might Get At School."
212,"Name A Reason Why A Child Can’t Wait To Grow Up"
213,"Name Something That Kids Can Use In A Pool To Help Them Float."
214,"Name Something That Grows On Trees, But Isn’t Fruit."
215,"Name Something You Need In Order To Make A Garden."
216,"Name Something That Makes You Burp."
217,"Name Something That A Man Teaches His Grandson To Do."
218,"Name Something Adults Buy That Can Be Very Small Or Very Large."
219,"Name A Subject You Count On Your Partner To Give You Advice On."
220,"Name Something You Can Get From Your Parents, But You Can Change As An Adult."
221,"Name An Instrument That You’d Need To Be Really Coordinated To Play."
222,"Besides “Biographies,” Which Section Of A Bookstore Would A Memoir About Your Life Belong In?"
223,"At The Beach, Name Something That Might Protect You From Sun."
224,"What Animal Would You See At A Farm, But Never Consider Keeping For A Pet?"
225,"Name A Gift That Most Women Like To Get."
226,"Name Something That’s Often Brought Into A Pawn Shop."
227,"Name Something Hawaiians Do To Celebrate Winter"
228,"Name Something The President Might Say Is Too Long."
229,"Tell Me A Reason You Exit The Freeway."
230,"Name Something You’ll Find On The Breakfast Menu, No Matter What Kind Of Restaurant You’re At."
231,"Name Something A Movie Star’s Kid Might Get As A Birthday Present."
232,"Name A Food That It’s Hard To Keep Your Face Clean While Eating."
233,"Name A Famous Movie Monster You Might See In A Black And White Film."
234,"Name The Most Stressful Holiday."
235,"Name A State People Visit During The Winter."
236,"Name Something People Guess The Weight Or Volume Of In Order To Win A Prize."
237,"If You Wanted To Impersonate Mary Poppins, What Would You Do?"
238,"Name An Activity That Could Be Described As “Wholesome.”"
239,"Name An Animal That Children Are Excited By At The Zoo."
240,"Name Something College Roommates Might Argue About."
241,"Name A Type Of Service Person Who You Never Know How Much To Tip."
242,"If You Were Stranded On A Tropical Island, Name Something You Might Have To Eat."
243,"Who Or What Would You Not Want To Meet In The Middle Of A Hiking Trail?"
244,"Name A Pet That Makes A Good Holiday Gift"
245,"Name A Pubic Place Where You Take Off Your Shoes."
246,"Name A Sport In Which The Announcers Get As Excited As The Fans."
247,"Name A Person In Your Life Who It Would Be Unwise To Live With."
248,"What Is The Worst Thing To Forget On A Camping Trip?"
249,"Instead Of A Horse, Which Animal Is It Hard To Imagine A Cowboy Riding?"
250,"Name An Animal With Really Long Legs."
251,"Name Something People Buy, And Then Don’t Know How To Use."
252,"Name Something A Little Girl Needs To Look Like A Princess."
253,"Name A Board Game That You Wouldn’t Play If You Only Had An Hour."
254,"Besides Maple, Name A Flavor Of Syrup."
255,"Name A Celebrity Who Could Teach A High School Dance Class."
256,"Name A Chore People Do Most Often."
257,"Name Something People Do When They Want To Look Better. (Makeover Is Not An Answer, Be More Specific)"
258,"Name Something That You Have To Do Sometimes That Billionaire Has Probably Never Done."
259,"If A Husband Found Out That His Wife Had A Bad Day At Work, Name Something He Might Do To Make Her Feel Better."
260,"What Might An Actor Do To Cure Stage Fright?"
261,"If “American Idol” Had An Animal Competition, Which Animal Would Have The Best Chances?"
262,"Name A Job That Ends With The Word “Guard.”"
263,"Name A Food You May Find In Someone’s Home Garden."
264,"Name Something People Keep Near Their Favorite Easy Chair."
265,"Name something a parent criticizes their child for doing too fast"
266,"Name Something A Gardener Might Use On The Job."
267,"Name Something That People Have A Desire To Smash."
268,"Name Something You Might Cut Out Of Your Morning Routine If You Were In A Big Hurry"
269,"When Drawing A Person, Which Specific Part Is The Hardest To Draw Believably?"
270,"If You Played Superman In A Movie, Name Something Specific You’d Have To Wear."
271,"If You Went Out With Santa Claus, What Might You Do On Your First Date?"
272,"Name Something You Might Buy For A Golfer."
273,"If Or Out Of The Dentist’s Chair, Name Something The Dentist Warns Not To Do."
274,"Unlike Dogs, Name A Type Of Pet That People Don’t Count On To Guard Their House."
275,"Name A Food That You Become Very Thirsty While Eating."
276,"Instead Of Get A Job, Name Something A Person Might Do After College."
277,"Name Something An Amusement Park Has A Lot Of."
278,"Name A Legendary Creature That Would Be A Huge Hit If Featured At The Zoo."
279,"Name Something Some People Do By Hand, While Others Use A Machine."
280,"Name Something That Begins With The Word “Dirty.”"
281,"Name Something A Small Town May Lack."
282,"Name The Month When TV Networks Start Airing Reruns."
283,"Finish The Sentence: Hold Your _____."
284,"Name Something You Wear That Might Be Plaid"
285,"Name Something Every UPS Driver Should Have"
286,"Name Something Contagious That Kids Sometimes Catch, But Adults Seldom Do."
287,"Name Something You Did As A 5-Year-Old That You’d Be Embarrassed To Do Now."
288,"Name Someone Who Wears White Gloves."
289,"Name A Phrase That Starts With The Word “Prime.”"
290,"Name Biggest Event In A Teenager’s Life"
291,"Name A Modern Device That Older People Have Trouble Using"
292,"Name Someone Who Has To Wash Their Hands Frequently."
293,"Name Something Your Dog Might Do That Would Make You Think He Was Part Cat."
294,"Which Activity Would A Celeb Least Like To Be Photographed Doing?"
295,"Name Something A Mother-To-Be Might Ask Her Friends’ Advice On Before The Baby Is Born."
296,"Name A Reason A Kid Might Get Sent Home From School."
297,"Name Something You Might Do To Make Yourself Feel Cozy After Playing In The Snow All Day."
298,"Name Something You Would Wan’t To Run Over With Your Lawnmower."
299,"Name Something Models And Wrestlers Both Do."
300,"Name An Animal That’s Often Described As “Beautiful.”"
301,"What Item Do People Always Keep Inside Their Cars?"
302,"Name A Complaint A Customer Might Have About A Bar They’re At."
303,"Other Than Swimsuits, Name Something People Wear To The Beach."
304,"We Asked 100 Wives: If Your Husband Were The Incredible Hulk, Tell Me What Would Turn Him Into A Monster."
305,"Name Something People Remove From Their Lawn."
306,"Name something you associate with Mickey Mouse"
307,"Name A Company That Uses An Animal In Its Logo."
308,"Name The Heaviest Item You Buy At The Supermarket."
309,"What Should A Spy Avoid Wearing, If He Doesn’t Want To Be Identified By His Profession?"
310,"If You Were Filling In For Santa, Name Something You’d Have To Learn How To Do."
311,"Name A Famous Cartoon Animal That You Wouldn’t Want In Your House If It Was Real."
312,"Name A Place That You Need An ID To Enter."
313,"Name an animal whose head you might see on the wall of a hunter’s den"
314,"Name something tourists see while visiting Italy."
315,"Name something you might do if you heard a burglar in your house."
316,"Name a place in your house that you don’t bother decorating."
317,"Name a kind of boat that doesn’t have an engine."
318,"Name something women do to their hair."
319,"Name a U.S. city that begins with the letter “B”."
320,"Name a specific food that doctors tell patients to cut down on."
321,"Tell me a piece of information that your neighbors are more likely to know about you than your coworkers are."
322,"Name something you associate with Elmer Fudd."
323,"Name something associated with Jiminy Cricket."
324,"Name a New Year’s TV host."
325,"Other than your family members,from whom would you accept criticism?"
326,"In a Secret Santa exchange,what “gifts” might you get from an office thief?"
327,"Name a place where it would be rude to laugh."
328,"Name a characteristic of a pub that you wouldn’t want for your home."
329,"What do you do when having a bad hair day?"
330,"Name someone who has/had many followers."
331,"Name something you do when looking in the mirror that you’d hate to be caught doing if it was a 2-way mirror."
332,"Name something your wife asks you to do that your Mom also asks you to do."
333,"Name an animal that you wouldn’t want to escape from the zoo."
334,"Name a profession that would be most difficult to perform while 8 months pregnant."
335,"Name something many people learned to do from their Dad."
336,"Name a piece of protective gear that only a real klutz would consider wearing while walking."
337,"Name a fruit that people drink juice from in the morning."
338,"Name something a girl would need if she wanted to impersonate an elderly woman."
339,"Name a prop you may hold in an “Olde Time” photograph at the fair."
340,"Besides clothes,name something the 50 Foot Woman might have trouble finding in her size."
341,"If your body aches,tell me what a possible cause might be."
342,"Name something that starts with the word “Instant”."
343,"Name something you see in every Star Wars movie."
344,"Name a specific place where you hated to run into a school bully."
345,"Name a dangerous hobby you wouldn’t want your partner to have."
346,"Name a dangerous hobby you wouldn’t want your partner to have."
347,"Name something you’d put on your table when having a dinner party."
348,"How can you tell that a dog is still a puppy?"
349,"Name something that many women wish their husbands could talk about."
350,"Name a type of business that does best during the summer."
351,"Name something that gets thrown."
352,"Name something you’d need if you were going to be a private eye."
353,"Name a job you’d have a hard time doing if you couldn’t type well."
354,"Name a common potato chip flavor."
355,"Tell me something many wives encourage their husbands to do as they get older."
356,"Name an animal that weighs a lot."
357,"If someone hates to cook,name a dinner that they probably eat often."
358,"Name something that even adults hate to share."
359,"What might a wash machine do that would make you get rid of it?"
360,"Name something you do at an office holiday party."
361,"Name someone in your life who you hope never writes a tell-all book."
362,"Name something people brag about."
363,"Name something that a woman might wear in bright colors."
364,"Other than actor,name an occupation you’d fail at if you had stage fright."
365,"Name someone Dorothy met in the Land of Oz."
366,"Name something that might be hard to do while pregnant."
367,"Name something about her infant son that a new mother talks about often."
368,"Tell Me The Age When A Girl Should Be Allowed To Start Dating. (Numaric Only)"
369,"Tell Me The Age That A Girl Stops Telling Her Parents Everything (Numeric Only)."
370,"Tell Me How Many Days It Takes A Man To Grow A Beard. (Numeric Only)"
371,"Name A Phrase That Starts With “Life Is…”."
372,"Name Something You Hope That The People You’re Housesitting For Have In Their Home."
373,"What Might You See Out Your Airplane Window?"
374,"What Might You Find Out About A House That Would Make You Back Out Of Buying It?"
375,"Name Something Associated With Fabio."
376,"Name Something That Kids Play In But An Adult Would Not."
377,"Name A Specific Item In Your House That’s Too Big To Throw Away In The Trash Can"
378,"According To Commercials, What Product Should A Man Buy In Order To Have Women Flock To Him?"
379,"Name A Comic Strip You See In Almost Every Newspaper."
380,"Name Something People Do To Cure An Aching Back."
381,"Name An Animal That Could Probably Beat Carl Lewis In A Race"
382,"Tell Me Something You Watch For Out Of Your Plane Window"
383,"Name Something In Your Kitchen That You’d Use As A Musical Instrument."
384,"Name A Beverage Served At Fancy Restaurants. (Alcohol Is Not An Answer, Be More Specific)"
385,"What Might An Overboard Soccer Mom Do At A Game That Causes Her To Be Thrown Out?"
386,"Name A Child Star Who’s Still Famous Today."
387,"Name A Part Of Grooming That You’d Spend More Time On Before A Big Date."
388,"Name Someplace People Go To Help Them Think."
389,"Name something a ballet dancer has that most people do not."
390,"Name Something Specific You Might Borrow From Your Coworker’s Desk That You’re Least Likely To Return"
391,"What’s The First Thing New Parents Buy After Finding Out They’re Having A Baby?"
392,"Name Something People Need Change In Order To Pay For."
393,"Name Something Couples Do Months In Advance To Prepare For Having A Baby."
394,"Name A Christmas Movie People Are Tired Of."
395,"If Which Profession Do You Often Find People With Wacky Hair?"
396,"If You Went Back In Time 10,000 Years, Name A Luxury Item You’d Probably Miss."
397,"Name A Place You Wait Where It Could Be Awkward To Make Too Much Small Talk With Others"
398,"Why Might Someone Refuse To Use A Swimming Pool?"
399,"Name A Really Long Movie"
400,"Besides Pants, Name An Article Of Clothing That Might Be Made Out Of Denim."
401,"What’s The First Symptom You Get When Starting A Cold?"
402,"At The Grocery Store, Name Something A Kid Is Told Not To Do."
403,"Which Talk Show Host Would You Like To Have Interview You?"
404,"Name Something You Wouldn’t Want To Happen When You’re In The Bathtub"
405,"Name A Measurement A Man Probably Doesn’t Know About His Wife’s Body."
406,"Name A Kind Of Cat You Probably Wouldn’t Keep As A Pet"
407,"Name Something Specific You’d Probably See On A Brochure For Las Vegas."
408,"Name Something You Keep In An Ice Chest. (Food Is Not An Answer, Be More Specific)"
409,"Name Something About Winnie The Pooh That Is Different From Real Bears."
410,"Name Something You Were Afraid To Do For The First Time."
411,"Besides Jewelry, Name Something A Person Might Wear Around Their Neck."
412,"How Can You Tell That Your Date Isn’t Interested In The Movie?"
413,"Who In Your Personal Life Would You Least Expect To Swindle You?"
414,"Name A Musical Instrument That Is Soothing."
415,"Name Something You’d Buy If You Wanted To Dress Up Like Fidel Castro"
416,"Name Something Specific You Might Wear To Bed If You’re Really Cold"
417,"Name A Design You Often See On Socks, But Not On Sneakers"
418,"If A Woman Was To Marry Tarzan, Name Something She Would Have To Get Used To"
419,"Which Sport At The Olympics Would The Average Person Off The Street Be Most Competitive At?"
420,"Name Something A Truck Driver Might Have To Go Without For A While."
421,"If Your Local Gym Was Run By 5-Year-Olds, What Classes Would You Take Instead Of Pilates?"
422,"Name Something An Employee Might Be Scolded About That Isn’t Directly Related To Job Performance."
423,"Name A Weather Term That Can Also Describe Your Wife."
424,"By What Method Might A Woman Make The Announcement That She’s Pregnant?"
425,"Who Wears A Uniform With Shirt And Pants Of The Same Color?"
426,"Name Something You Eat By The Handful. (Be Specific Candy Is Not An Answer.)"
427,"We Asked 100 Women: Name The Item In Your Purse That A Germophobe Would Say Needs To Be Disinfected"
428,"Name Something About Babies That Makes You Think Twice About Becoming A Parent."
429,"Name A Person Who’s Last Name Is “Johnson.”"
430,"Name A Household Chore That You Do Your Best Thinking While Doing"
431,"Name Something You Do At Home, But Not While Staying In A Hotel."
432,"Name A Way Children Submit Their Wishlists To Santa."
433,"Name a good gift for a lifeguard."
434,"Name Something In The House That You Might Not Use When People Are Trying To Sleep."
435,"Tell Me A Fictional Character Whose Name Includes The World “Little.”"
436,"Name A Type Of Pet That People Rarely Take Out Of Their House."
437,"Grey Hair On Older Men Is Distinguished. What Happens To Aging Men That Isn’t Distinguished?"
438,"Name Something A Celebrity Might Discuss On A Talk Show"
439,"As A House Guest, Name Something In The Host’s Bathroom That You Assume You Can Use"
440,"Name Something You Make For Dinner When You’re Short On Time."
441,"Name Something A School Might Forbid Students From Wearing."
442,"Something In A Woman’s Purse That’s Not In A Man’s Wallet."
443,"Name A Job, Often Depicted On TV, That You’ve Dreamt Of Having Yourself."
444,"Give A Word Frankenstein Would Use To Describe Himself In A Personal Ad."
445,"Name A Word People Use To Describe Someone Who’s In A Bad Mood"
446,"Name a reason a husband might send his wife flowers."
447,"Name Something That’s Expensive Even When It’s In Used Condition."
448,"Name An Occupation Where You Often See People With Stiff, Hairsprayed Hair."
449,"Besides Photos, Name Something Someone Would Include In Their Scrapbook."
450,"Name An Occasion For Which People Often End Up Overspending"
451,"Name An Advantage Of Working At Home."
452,"Name Something A Kid Might Do That Would Get Them Kicked Out Of A Public Swimming Pool"
453,"Name Something A Zombie Might See A Doctor About"
454,"Tell Me Something That Responsible Adults Do On A Regular Basis"
455,"Which Style of Music Would Be Least Effective To Sing When Putting Your Baby To Sleep?"
456,"Name A Position Played In Baseball Game."
457,"Name A Job Which Is Busiest In The Summer Time"
458,"Name Something A Pirate Has To Take Off Before He Goes To Bed"
459,"Name something you don’t want to have happen during a moment of silence."
460,"Name Something You Do To Keep Yourself From Laughing."
461,"Name A Job Where You Might Have Your Name On The Front Of Your Shirt."
462,"Name something you might see at a bus stop."
463,"Besides Spaghetti, Name A Type Of Pasta."
464,"Name Something You Use In The Bathtub, that You’d Look Silly Bringing Into A Jacuzzi"
465,"If A Movie Was Really Terrible, Name Something You Might Do In The Theater To Pass The Time."
466,"Name Something You Can’t Do Until You’re A Certain Age."
467,"Name Something Cowboys Are Good At."
468,"Name Something Associated With The Wizard Of Oz."
469,"Name A Reason A Casino Dealer Might Complain About Someone At Their Table"
470,"Tell Me A Girl’s Name That Begins With “S.”"
471,"Name Something You Might Do If Your Friend Got Bitten By A Snake"
472,"Name An Occupation Where You Work In A Studio."
473,"Besides chicken,name something you associate with Kentucky Fried Chicken."
474,"Name Something A Person Might Read Everyday"
475,"Name Something Parents Think Their Teenage Son Spends Too Much Time Doing."
476,"Name Something You Might Find Under A Rock."
477,"What Might You Find Inside A Book That Tells You It Was Meant For Children?"
478,"Name Something Every Professional Boxer Needs."
479,"Name Something Tarzan Might Do That Could Get Him Thrown Out Of A Nice Restaurant"
